Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,14.640088,15.045505,14.640088,15.000459,15.000459,18359711
2019-03-05,14.910366,15.360830,14.775227,15.315784,15.315784,24237964
2019-03-06,15.450923,15.450923,14.910366,15.225691,15.225691,31016552
2019-03-07,15.225691,15.856341,15.000459,15.225691,15.225691,41034007
2019-03-08,15.180645,15.360830,15.045505,15.180645,15.180645,9393795
2019-03-11,15.270738,15.541016,15.225691,15.495970,15.495970,10922808
2019-03-12,15.766248,15.856341,15.405877,15.541016,15.541016,13158798
2019-03-13,15.495970,15.495970,15.135598,15.270738,15.270738,12136033
2019-03-14,15.180645,15.586062,15.045505,15.450923,15.450923,25170808
2019-03-15,15.495970,15.495970,15.045505,15.270738,15.270738,54638891
2019-03-18,15.360830,15.586062,15.360830,15.450923,15.450923,26620043
2019-03-19,15.450923,15.901387,15.270738,15.721202,15.721202,25974590
2019-03-20,15.721202,15.811295,15.225691,15.315784,15.315784,31752574
2019-03-22,15.405877,15.811295,15.360830,15.676155,15.676155,36509354
2019-03-25,15.450923,15.811295,15.270738,15.405877,15.405877,37212280
2019-03-26,15.405877,17.838385,15.405877,17.523060,17.523060,138643367
2019-03-27,19.234823,19.234823,17.342873,17.568106,17.568106,154518161
2019-03-28,17.748291,18.423986,17.478012,18.018570,18.018570,59360313
2019-04-01,17.613152,17.928476,17.432966,17.568106,17.568106,27072845
2019-04-02,17.613152,17.973522,17.342873,17.432966,17.432966,24766279
2019-04-03,17.432966,17.478012,16.667177,16.757271,16.757271,39552889
2019-04-04,16.802317,17.432966,16.667177,17.162687,17.162687,27347964
2019-04-05,17.207733,17.252781,16.757271,16.892408,16.892408,12640219
2019-04-08,16.892408,17.162687,16.261759,16.441944,16.441944,15876617
2019-04-09,16.577084,17.027548,16.306805,16.937454,16.937454,19040779
2019-04-10,16.937454,17.027548,16.306805,16.622129,16.622129,17273253
2019-04-11,16.757271,17.432966,16.712223,16.847363,16.847363,29657691
2019-04-12,16.847363,16.982502,16.532038,16.802317,16.802317,16151661
2019-04-15,16.802317,17.072596,16.667177,16.757271,16.757271,9575075
2019-04-16,16.757271,16.937454,16.577084,16.712223,16.712223,10754540
2019-04-18,16.712223,16.802317,16.216713,16.532038,16.532038,17409734
2019-04-22,16.486992,16.486992,15.991480,16.036528,16.036528,11970148
2019-04-23,16.171665,16.216713,15.586062,15.676155,15.676155,22978539
2019-04-24,15.856341,15.946434,15.631109,15.676155,15.676155,15736917
2019-04-25,15.766248,15.991480,15.270738,15.360830,15.360830,25325837
2019-04-26,15.450923,15.495970,15.135598,15.270738,15.270738,16011485
2019-04-30,15.360830,15.405877,14.820273,15.000459,15.000459,9549101
2019-05-02,14.955413,15.270738,14.910366,15.090552,15.090552,11662525
2019-05-03,14.910366,15.225691,14.820273,14.865320,14.865320,12732837
2019-05-06,14.820273,14.955413,14.640088,14.775227,14.775227,6876931
2019-05-07,14.865320,15.180645,14.234670,14.414855,14.414855,17708725
2019-05-08,14.414855,14.549995,14.144577,14.279716,14.279716,10585786
2019-05-09,14.279716,14.640088,14.099530,14.459902,14.459902,10342137
2019-05-10,14.414855,14.685134,14.279716,14.504948,14.504948,8552440
2019-05-13,14.504948,14.504948,13.649066,13.784206,13.784206,12664084
2019-05-14,13.739159,14.324763,13.423834,14.234670,14.234670,30903485
2019-05-15,14.279716,14.279716,13.784206,13.874298,13.874298,10923042
2019-05-16,13.919345,13.964391,13.649066,13.829252,13.829252,15550023
2019-05-17,13.919345,14.054484,13.649066,13.739159,13.739159,15235295
2019-05-20,14.009438,14.504948,14.009438,14.144577,14.144577,23580325
2019-05-21,14.324763,14.324763,13.739159,13.874298,13.874298,14057921
2019-05-22,13.919345,14.009438,13.694113,13.874298,13.874298,11788413
2019-05-23,14.144577,15.090552,14.054484,14.279716,14.279716,40593767
2019-05-24,14.369809,15.225691,14.279716,15.135598,15.135598,17246992
2019-05-27,15.270738,15.721202,15.180645,15.315784,15.315784,22407752
2019-05-28,15.405877,15.495970,14.910366,15.000459,15.000459,22789739
2019-05-29,14.955413,15.000459,14.324763,14.459902,14.459902,16747885
2019-05-30,14.459902,14.865320,14.144577,14.459902,14.459902,26448143
2019-05-31,14.459902,14.595041,13.829252,13.964391,13.964391,16050244
2019-06-03,14.009438,14.099530,13.694113,13.874298,13.874298,12782158
2019-06-04,13.874298,14.099530,13.739159,13.784206,13.784206,10106445
2019-06-06,13.874298,13.874298,13.333741,13.468881,13.468881,22086183
2019-06-07,13.513927,13.558973,13.063463,13.288695,13.288695,12335756
2019-06-10,13.333741,13.468881,13.153556,13.288695,13.288695,15397593
2019-06-11,13.378788,13.604020,13.153556,13.513927,13.513927,14415437
2019-06-12,13.513927,13.694113,13.378788,13.468881,13.468881,10618769
2019-06-13,13.513927,13.604020,13.153556,13.558973,13.558973,16333199
2019-06-14,13.604020,13.604020,13.243648,13.333741,13.333741,13881962
2019-06-17,13.378788,13.739159,13.108509,13.558973,13.558973,23505988
2019-06-18,13.468881,13.694113,13.198602,13.378788,13.378788,14857738
2019-06-19,13.513927,13.558973,12.658045,13.333741,13.333741,72989325
2019-06-20,13.153556,13.874298,13.108509,13.784206,13.784206,22806350
2019-06-21,13.784206,14.054484,13.604020,13.964391,13.964391,12718193
2019-06-24,13.919345,14.054484,13.739159,13.829252,13.829252,6166890
2019-06-25,13.784206,13.919345,13.513927,13.604020,13.604020,16506414
2019-06-26,13.694113,14.144577,13.649066,13.829252,13.829252,22006898
2019-06-27,13.874298,14.054484,13.694113,13.784206,13.784206,15306947
2019-06-28,13.784206,13.784206,13.243648,13.423834,13.423834,23692787
2019-07-01,13.558973,13.784206,13.288695,13.604020,13.604020,11815999
2019-07-02,13.649066,13.649066,13.333741,13.558973,13.558973,15791000
2019-07-03,13.558973,13.739159,13.468881,13.604020,13.604020,6059863
2019-07-04,13.604020,13.739159,13.558973,13.604020,13.604020,5530744
2019-07-05,14.234670,14.459902,13.513927,13.604020,13.604020,43509250
2019-07-08,13.513927,13.604020,13.108509,13.558973,13.558973,18565645
2019-07-09,13.423834,13.874298,13.333741,13.784206,13.784206,9434819
2019-07-10,13.874298,13.874298,13.513927,13.558973,13.558973,6880406
2019-07-11,13.604020,13.739159,13.423834,13.604020,13.604020,5213555
2019-07-12,13.604020,13.739159,13.513927,13.604020,13.604020,5223290
2019-07-15,13.649066,13.739159,13.423834,13.513927,13.513927,3968994
2019-07-16,13.513927,13.604020,13.468881,13.558973,13.558973,3208637
2019-07-17,13.513927,13.694113,13.468881,13.558973,13.558973,5360639
2019-07-18,13.513927,13.649066,13.243648,13.378788,13.378788,10286361
2019-07-19,13.468881,13.468881,13.153556,13.333741,13.333741,11124323
2019-07-22,13.288695,13.378788,13.108509,13.288695,13.288695,8538604
2019-07-23,13.288695,13.423834,13.198602,13.333741,13.333741,6341774
2019-07-24,13.333741,13.378788,12.973370,13.063463,13.063463,21555433
2019-07-25,13.108509,13.423834,13.063463,13.153556,13.153556,13908201
2019-07-26,13.153556,13.288695,13.063463,13.198602,13.198602,9300896
2019-07-29,13.153556,13.288695,12.928323,13.198602,13.198602,15977182
2019-07-30,13.153556,13.333741,12.883277,13.018416,13.018416,36382069
2019-07-31,13.018416,13.558973,12.973370,13.468881,13.468881,43369397
2019-08-01,13.468881,13.739159,13.333741,13.513927,13.513927,28265743
2019-08-02,13.423834,13.694113,13.333741,13.604020,13.604020,18719703
2019-08-05,13.378788,13.513927,13.153556,13.288695,13.288695,26224365
2019-08-06,13.288695,13.513927,13.288695,13.378788,13.378788,7737476
2019-08-07,13.333741,13.468881,13.198602,13.288695,13.288695,5988435
2019-08-08,13.288695,13.423834,13.198602,13.378788,13.378788,6776089
2019-08-09,13.423834,13.964391,13.378788,13.649066,13.649066,11830532
2019-08-13,13.649066,13.919345,13.423834,13.468881,13.468881,8996894
2019-08-14,13.513927,13.604020,13.243648,13.558973,13.558973,7584808
2019-08-16,13.513927,13.874298,13.333741,13.739159,13.739159,9181871
2019-08-19,13.739159,14.595041,13.604020,14.324763,14.324763,22794390
2019-08-20,14.324763,14.414855,13.604020,13.649066,13.649066,13213854
2019-08-21,13.694113,13.739159,13.153556,13.243648,13.243648,14490671
2019-08-22,13.333741,13.558973,13.018416,13.243648,13.243648,39162834
2019-08-23,13.288695,13.604020,13.018416,13.468881,13.468881,26700050
2019-08-26,13.513927,13.784206,13.198602,13.694113,13.694113,12495929
2019-08-27,13.739159,14.144577,13.694113,13.919345,13.919345,20624372
2019-08-28,13.919345,14.054484,13.649066,13.739159,13.739159,7174051
2019-08-29,13.694113,13.784206,13.288695,13.604020,13.604020,28805485
2019-08-30,13.649066,13.829252,13.423834,13.558973,13.558973,13268574
2019-09-03,13.513927,13.513927,13.243648,13.333741,13.333741,21071271
2019-09-04,13.333741,13.378788,13.108509,13.243648,13.243648,9144063
2019-09-05,13.288695,13.513927,13.243648,13.423834,13.423834,11852189
2019-09-06,13.468881,14.099530,13.468881,14.009438,14.009438,11199641
2019-09-09,14.054484,14.279716,13.874298,14.234670,14.234670,7909347
2019-09-11,14.234670,15.315784,14.099530,15.225691,15.225691,20422638
2019-09-12,15.270738,15.405877,14.820273,15.045505,15.045505,54351599
2019-09-13,15.090552,15.450923,14.730180,15.360830,15.360830,39615844
2019-09-16,15.270738,15.541016,15.000459,15.090552,15.090552,31139799
2019-09-17,15.090552,15.135598,14.324763,14.414855,14.414855,22894096
2019-09-18,14.459902,15.000459,14.279716,14.865320,14.865320,23067519
2019-09-19,14.865320,14.865320,14.189623,14.324763,14.324763,16742798
2019-09-20,14.324763,15.180645,14.099530,14.955413,14.955413,57536745
2019-09-23,15.225691,15.586062,14.910366,15.000459,15.000459,27706427
2019-09-24,15.000459,15.676155,14.910366,15.495970,15.495970,22958136
2019-09-25,15.811295,15.991480,14.865320,15.180645,15.180645,43078049
2019-09-26,15.270738,15.495970,15.000459,15.360830,15.360830,22955497
2019-09-27,15.405877,15.991480,15.090552,15.450923,15.450923,37908261
2019-09-30,15.405877,15.495970,15.000459,15.315784,15.315784,22136247
2019-10-01,15.405877,15.586062,14.549995,14.730180,14.730180,19347631
2019-10-03,14.775227,15.315784,14.775227,15.225691,15.225691,13801374
2019-10-04,15.270738,15.360830,14.775227,14.865320,14.865320,11873695
2019-10-07,15.000459,15.045505,14.685134,14.775227,14.775227,12136334
2019-10-09,14.865320,15.676155,14.775227,15.586062,15.586062,20987139
2019-10-10,15.541016,15.901387,15.405877,15.495970,15.495970,10341598
2019-10-11,15.586062,15.766248,15.225691,15.495970,15.495970,13452538
2019-10-14,15.541016,15.721202,15.360830,15.405877,15.405877,8163241
2019-10-15,15.495970,15.631109,15.315784,15.586062,15.586062,9332690
2019-10-16,15.586062,15.721202,15.405877,15.631109,15.631109,7190664
2019-10-17,15.811295,15.901387,15.495970,15.811295,15.811295,9026053
2019-10-18,15.811295,17.252781,15.721202,17.207733,17.207733,33523687
2019-10-22,17.117641,17.703243,16.892408,17.207733,17.207733,16611388
2019-10-23,17.117641,17.838385,16.802317,17.748291,17.748291,15668695
2019-10-24,17.838385,18.423986,17.658197,17.973522,17.973522,28062626
2019-10-25,17.838385,18.469034,17.658197,17.883430,17.883430,18045642
2019-10-27,17.883430,18.153709,17.793337,17.928476,17.928476,2825637
2019-10-29,18.018570,19.460054,17.928476,18.739311,18.739311,33182758
2019-10-30,18.874453,18.874453,18.243801,18.604174,18.604174,14987245
2019-10-31,18.694265,19.234823,18.604174,18.694265,18.694265,31855838
2019-11-01,18.649220,19.009590,18.514080,18.739311,18.739311,13116129
2019-11-04,18.874453,19.099684,18.694265,18.784359,18.784359,11067451
2019-11-05,18.784359,18.964544,18.243801,18.604174,18.604174,7543370
