Date,Open,High,Low,Close,Adj Close,Volume
2019-03-05,566.099976,572.450012,558.299988,566.750000,564.571594,1510553
2019-03-06,566.950012,575.950012,560.200012,563.049988,560.885803,2147710
2019-03-07,563.950012,568.500000,558.099976,560.250000,558.096558,745615
2019-03-08,564.900024,568.400024,555.849976,558.450012,556.303467,1189052
2019-03-11,563.000000,581.400024,562.099976,574.200012,571.992920,2174306
2019-03-12,579.900024,588.400024,576.299988,580.549988,578.318542,1859892
2019-03-13,582.599976,582.599976,572.250000,576.400024,574.184509,1027092
2019-03-14,573.400024,591.000000,567.000000,586.000000,583.747559,1148193
2019-03-15,594.000000,595.900024,580.599976,584.450012,582.203552,3407840
2019-03-18,585.000000,585.750000,571.000000,573.799988,571.594482,1074399
2019-03-19,574.000000,580.200012,568.349976,575.049988,572.839661,1368113
2019-03-20,575.000000,577.000000,569.150024,571.599976,569.402893,920117
2019-03-22,572.299988,573.349976,562.750000,565.099976,562.927856,1020415
2019-03-25,561.250000,563.349976,543.349976,552.099976,549.977844,1983101
2019-03-26,552.000000,558.450012,546.049988,548.700012,546.590942,1128525
2019-03-27,549.099976,553.400024,537.000000,539.950012,537.874573,1851486
2019-03-28,539.000000,543.549988,530.299988,532.400024,530.353638,3681691
2019-04-01,558.400024,562.750000,545.150024,549.400024,547.288269,2000332
2019-04-02,549.000000,555.500000,538.450012,540.650024,538.571899,1716206
2019-04-03,544.000000,547.799988,533.549988,535.799988,533.740540,1673139
2019-04-04,536.950012,543.000000,527.000000,538.000000,535.932068,1794954
2019-04-05,543.849976,545.000000,535.000000,536.349976,534.288391,1331657
2019-04-08,537.400024,543.500000,531.500000,533.549988,531.499146,1427858
2019-04-09,533.000000,546.000000,532.099976,544.299988,542.207825,1629349
2019-04-10,544.150024,553.900024,543.450012,547.150024,545.046936,1895631
2019-04-11,545.799988,556.250000,542.000000,554.549988,552.418457,1800769
2019-04-12,555.349976,557.250000,544.099976,547.349976,545.246094,1374575
2019-04-15,548.849976,554.200012,546.000000,550.599976,548.483643,985497
2019-04-16,551.400024,557.799988,550.500000,556.049988,553.912659,1172951
2019-04-18,558.900024,558.900024,545.099976,552.750000,550.625366,1248023
2019-04-22,552.000000,552.400024,546.049988,549.750000,547.636902,602822
2019-04-23,550.000000,556.849976,542.299988,554.500000,552.368652,1046858
2019-04-24,554.000000,559.500000,549.049988,555.000000,552.866760,1432922
2019-04-25,554.500000,556.799988,544.799988,547.650024,545.544983,1177111
2019-04-26,547.500000,551.400024,543.250000,547.000000,544.897461,722337
2019-04-30,543.200012,562.900024,543.200012,561.099976,558.943237,2020715
2019-05-02,558.900024,561.000000,542.150024,543.700012,541.610168,877395
2019-05-03,544.500000,546.349976,529.349976,531.099976,529.058594,1177221
2019-05-06,526.000000,531.049988,519.599976,522.200012,520.192810,914033
2019-05-07,523.000000,529.950012,521.000000,522.299988,520.292419,623670
2019-05-08,521.700012,537.200012,521.000000,526.799988,524.775085,1190506
2019-05-09,524.000000,531.750000,524.000000,525.799988,523.778931,834823
2019-05-10,525.799988,540.450012,525.299988,537.900024,535.832458,1090708
2019-05-13,537.500000,543.349976,525.250000,527.900024,525.870911,1168551
2019-05-14,524.349976,535.250000,520.000000,531.099976,529.058594,1035449
2019-05-15,532.000000,534.950012,521.099976,523.549988,521.537598,2194025
2019-05-16,526.200012,529.000000,513.000000,523.599976,521.587402,1291009
2019-05-17,523.599976,536.500000,519.000000,531.500000,529.457031,1647513
2019-05-20,542.250000,557.000000,533.450012,553.450012,551.322693,1832929
2019-05-21,549.900024,562.849976,543.500000,551.150024,549.031555,2785383
2019-05-22,552.700012,552.700012,538.750000,542.799988,540.713623,867201
2019-05-23,546.000000,551.200012,531.200012,534.200012,532.146667,1039771
2019-05-24,535.500000,551.299988,534.400024,547.950012,545.843872,1006522
2019-05-27,536.000000,541.000000,530.200012,536.349976,534.288391,1316062
2019-05-28,537.250000,547.500000,537.250000,544.000000,541.908997,2352913
2019-05-29,546.950012,546.950012,532.450012,535.200012,533.142822,721367
2019-05-30,528.000000,544.400024,525.250000,539.599976,537.525879,5659761
2019-05-31,542.000000,557.400024,536.750000,554.049988,551.920349,2997826
2019-06-03,553.150024,564.950012,549.900024,557.599976,555.456726,2090788
2019-06-04,552.150024,574.799988,548.599976,571.799988,569.602173,3599023
2019-06-06,571.599976,573.000000,553.599976,556.950012,554.809265,2004180
2019-06-07,556.400024,566.400024,545.049988,551.299988,549.180969,1692483
2019-06-10,553.099976,566.900024,551.000000,563.650024,561.483521,2199870
2019-06-11,564.500000,573.000000,559.500000,562.650024,560.487366,2144450
2019-06-12,559.549988,579.000000,556.299988,575.549988,573.337708,2313546
2019-06-13,578.400024,578.400024,563.250000,566.200012,564.023682,1138787
2019-06-14,565.000000,566.599976,549.549988,551.950012,549.828491,886986
2019-06-17,551.099976,553.150024,538.349976,539.450012,537.376526,890517
2019-06-18,540.000000,541.700012,529.049988,535.299988,533.242432,832411
2019-06-19,537.500000,538.700012,511.250000,520.200012,518.200500,1186752
2019-06-20,521.099976,543.950012,518.099976,541.599976,539.518188,1041677
2019-06-21,541.599976,561.299988,537.099976,551.900024,549.778687,2726318
2019-06-24,554.349976,562.599976,552.200012,560.049988,557.897339,706786
2019-06-25,556.500000,562.849976,552.549988,560.700012,558.544861,746985
2019-06-26,558.750000,572.400024,558.200012,566.750000,564.571594,1166570
2019-06-27,568.900024,578.099976,567.000000,576.150024,573.935486,2277777
2019-06-28,576.349976,589.799988,576.349976,584.950012,582.701599,2087870
2019-07-01,586.950012,592.799988,585.000000,588.200012,585.939148,1217743
2019-07-02,588.150024,596.599976,582.099976,594.900024,592.613403,2050192
2019-07-03,594.900024,595.450012,577.150024,579.700012,577.471802,1319940
2019-07-04,578.099976,581.349976,573.299988,575.000000,572.789856,1251513
2019-07-05,574.200012,585.700012,565.799988,580.500000,578.268738,1252555
2019-07-08,575.099976,585.400024,567.650024,580.950012,578.716980,1472082
2019-07-09,577.549988,581.700012,562.150024,568.900024,566.713318,931240
